"","subject","experiment","time","wheel","wheelabs","wheelpos","absdist","absspeed","posdist","posspeed","bothdist","dirspeed","absspeedf","posspeedf","dirspeedf"
"1750","Sample","Hab",175000,2,2,2,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.13248046875,0.66240234375,0.66240234375,0.331201171875,0.331201171875
"1752","Sample","Hab",175200,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,-0.331201171875
"1754","Sample","Hab",175400,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1756","Sample","Hab",175600,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1758","Sample","Hab",175800,0,0,0,0,0,0,0,0,0,0,0,0
"1760","Sample","Hab",176000,0,0,0,0,0,0,0,0,0,0,0,0
"1762","Sample","Hab",176200,0,0,0,0,0,0,0,0,0,0,0,0
"1764","Sample","Hab",176400,0,0,0,0,0,0,0,0,0,0,0,0
"1766","Sample","Hab",176600,0,0,0,0,0,0,0,0,0,0,0,0
"1768","Sample","Hab",176800,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1770","Sample","Hab",177000,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1772","Sample","Hab",177200,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1774","Sample","Hab",177400,-2,2,0,0.13248046875,0.66240234375,0,0,-0.13248046875,-0.66240234375,0.331201171875,0,0
"1776","Sample","Hab",177600,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1778","Sample","Hab",177800,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1780","Sample","Hab",178000,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1782","Sample","Hab",178200,0,0,0,0,0,0,0,0,0,0,0,0
"1784","Sample","Hab",178400,0,0,0,0,0,0,0,0,0,0,0,0
"1786","Sample","Hab",178600,0,0,0,0,0,0,0,0,0,0,0,0
"1788","Sample","Hab",178800,0,0,0,0,0,0,0,0,0,0,0,0
"1790","Sample","Hab",179000,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0,0,0
"1792","Sample","Hab",179200,0,0,0,0,0,0,0,0,0,0,0,0
"1794","Sample","Hab",179400,-1,1,0,0.066240234375,0.331201171875,0,0,-0.066240234375,-0.331201171875,0.331201171875,0,0
"1796","Sample","Hab",179600,0,0,0,0,0,0,0,0,0,0.331201171875,0,0
"1798","Sample","Hab",179800,1,1,1,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.066240234375,0.331201171875,0.331201171875,0,0
"1800","Sample","Hab",180000,-2,2,0,0.13248046875,0.66240234375,0,0,-0.13248046875,-0.66240234375,0,0,0
"1802","Sample","Hab",180200,0,0,0,0,0,0,0,0,0,0,0,0
"1804","Sample","Hab",180400,0,0,0,0,0,0,0,0,0,0,0,0
"1806","Sample","Hab",180600,0,0,0,0,0,0,0,0,0,0,0,0
"1808","Sample","Hab",180800,0,0,0,0,0,0,0,0,0,0,0,0
"1810","Sample","Hab",181000,0,0,0,0,0,0,0,0,0,0,0,0
"1812","Sample","Hab",181200,0,0,0,0,0,0,0,0,0,0,0,0
"1814","Sample","Hab",181400,0,0,0,0,0,0,0,0,0,0,0,0
"1816","Sample","Hab",181600,0,0,0,0,0,0,0,0,0,0,0,0
"1818","Sample","Hab",181800,0,0,0,0,0,0,0,0,0,0,0,0
"1820","Sample","Hab",182000,0,0,0,0,0,0,0,0,0,0,0,0
